"","key_0","term","count","marca"
"596","s101.nmf","falo",1,1
"597","s101.nmf","gigas",2,1
"598","s101.nmf","instalaÃ",1,1
"599","s101.nmf","internet",1,1
"600","s101.nmf","julho",1,1
"601","s101.nmf","mero",1,1
"602","s101.nmf","nome",1,1
"603","s101.nmf","pinheiros",1,1
"604","s101.nmf","preciso",1,1
"605","s101.nmf","qual",1,1
"606","s101.nmf","que",2,1
"607","s101.nmf","quem",1,1
"608","s101.nmf","seu",1,1
"609","s101.nmf","silva",1,1
"610","s101.nmf","titular",1,1
"611","s101.nmf","vanessa",1,1
"612","s101.nmf","youtube",1,1
"613","s1020.nmf","alguma",2,1
"614","s1020.nmf","aqui",1,1
"615","s1020.nmf","atendimento",1,1
"616","s1020.nmf","boa",1,1
"617","s1020.nmf","coisa",1,1
"618","s1020.nmf","com",1,1
"619","s1020.nmf","como",2,1
"620","s1020.nmf","dar",1,1
"621","s1020.nmf","deixa",1,1
"622","s1020.nmf","especializado",1,1
"623","s1020.nmf","falo",1,1
"624","s1020.nmf","faÃ",1,1
"625","s1020.nmf","fez",1,1
"626","s1020.nmf","francÃ",1,1
"627","s1020.nmf","ligaÃ",1,1
"628","s1020.nmf","meu",1,1
"629","s1020.nmf","noite",1,1
"630","s1020.nmf","oferecer",1,1
"631","s1020.nmf","para",2,1
"632","s1020.nmf","pegar",1,1
"633","s1020.nmf","plano",1,1
"634","s1020.nmf","porque",1,1
"635","s1020.nmf","que",2,1
"636","s1020.nmf","quem",1,1
"637","s1020.nmf","reais",1,1
"638","s1020.nmf","sabrina",1,1
"639","s1020.nmf","telefone",1,1
"640","s1020.nmf","tinha",1,1
"641","s1020.nmf","vocÃ",1,1
"642","s1021.nmf","aos",1,1
"643","s1021.nmf","aqui",1,1
"644","s1021.nmf","atendimento",1,1
"645","s1021.nmf","boa",2,1
"646","s1021.nmf","certo",2,1
"647","s1021.nmf","com",1,1
"648","s1021.nmf","conta",1,1
"649","s1021.nmf","contas",1,1
"650","s1021.nmf","das",1,1
"651","s1021.nmf","escrito",1,1
"652","s1021.nmf","fala",1,1
"653","s1021.nmf","falo",1,1
"654","s1021.nmf","heloÃ",1,1
"655","s1021.nmf","instante",1,1
"656","s1021.nmf","janeiro",1,1
"657","s1021.nmf","nesse",1,1
"658","s1021.nmf","noite",2,1
"659","s1021.nmf","quer",1,1
